id,spp,wN,wC,cn
1,A,0.47965607,9.503221512,19.81257425
2,C,0.492961615,10.40104961,21.09910648
3,C,0.52669239,11.09152603,21.05883099
4,C,0.408561051,8.322986603,20.37146366
5,C,0.440936863,9.148575783,20.74804023
6,A,0.458940357,9.889843941,21.5493011
7,A,0.563665092,10.94126415,19.4109309
8,C,1.092380524,21.46588707,19.65055821
8,A,0.508750021,9.231459618,18.14537442
9,C,0.445978791,10.21941948,22.91458629
11,C,0.580229938,11.69679165,20.15889026
12,C,0.461512595,10.26939964,22.25161295
13,C,0.549458444,11.18081379,20.34878872
14,C,0.514769852,10.83284187,21.04404877
15,C,0.566672802,11.74753857,20.73072596
16,A,0.52503264,10.90036964,20.7613181
17,A,0.393916667,10.77452469,27.35229455
18,A,0.422159344,10.57105541,25.04043926
19,C,0.514905334,9.660257339,18.7612299
20,A,0.433154672,9.684800148,22.3587572
22,A,0.376130581,9.948288918,26.44902973
24,A,0.403318524,11.1937418,27.75409787
25,A,0.345909983,10.07002544,29.11169362
26,A,0.434981704,10.20569134,23.46234623
27,A,0.508809268,11.6239996,22.84549499
28,A,0.384177804,9.013858795,23.46272664
29,A,0.361018866,10.19306087,28.23415014
30,C,0.505761385,11.2898674,22.32251757
34,A,0.397670537,9.326710701,23.45336108
35,C,0.562029958,10.67625237,18.99587774
36,A,0.347937852,8.448054314,24.28035427
37,C,0.532408714,9.660899162,18.14564432
38,C,0.460590303,11.05374813,23.99908999
39,C,0.514659822,10.99404812,21.36177655
40,C,0.529969692,10.79680252,20.3724905
41,A,0.414082944,9.912124634,23.93753418
42,C,0.554803669,10.06663418,18.14449819
43,C,0.556328475,10.40805721,18.70847471
44,C,0.46377185,11.02955246,23.78228101
45,C,0.45412606,9.675049782,21.30476675
46,C,0.364052802,8.819984436,24.22721204
47,A,0.569460273,11.49489117,20.18558926
48,C,0.432334185,10.28454781,23.78842148
49,C,0.444752127,9.347028732,21.01626539
50,C,0.513813078,10.66687393,20.7602227
52,C,0.492479146,10.4073658,21.13260205
53,C,0.522348285,10.56919193,20.23399376
54,A,0.46324721,10.02576542,21.64236547
55,C,0.325355291,7.260797501,22.31651887
55,C,0.457341194,9.897994041,21.64247211
56,C,0.44495514,8.878795624,19.95436128
57,A,0.46429646,9.460963249,20.37698768
58,C,0.426345825,9.263442993,21.72753302
59,C,0.474874407,10.73223019,22.60014443
60,A,0.451570958,9.709342957,21.50125642
61,C,0.483439296,10.28158665,21.26758566
62,C,0.450741827,9.196176529,20.40231451
63,C,0.431792855,9.440629959,21.86379382
64,C,0.488551587,10.55275631,21.60008604
65,C,0.509139478,11.0229845,21.65022548
66,C,0.523770869,10.90596199,20.82200947
67,C,0.532950699,10.87920094,20.41314694
68,C,0.45412606,10.15261841,22.35638802
69,A,0.344262362,9.720338821,28.23526446
70,A,0.379486322,10.49819565,27.66422669
71,C,0.511273026,10.14112377,19.83504556
72,C,0.458965719,8.778465271,19.12662518
73,A,0.350210816,10.12353706,28.90698006
75,A,0.422912031,11.25057602,26.60263881
76,A,0.31557402,9.892149925,31.34652821
77,A,0.372960955,9.795588493,26.26438067
78,A,0.318276852,10.44376087,32.81344777
79,A,0.373569489,10.6564827,28.52610565
80,A,0.348419487,9.904873848,28.42801337
81,A,0.333448142,10.48250103,31.4366755
82,C,0.50473702,10.79344559,21.38429552
83,A,0.350717813,9.598208427,27.36732518
84,A,0.419292331,10.97980309,26.18651065
85,A,0.306024402,9.745092392,31.84416771
86,A,0.303218305,9.432817459,31.10899738
88,A,0.296919078,9.1509161,30.8195626
89,A,0.373096168,10.07011127,26.99065854
90,A,0.40596512,10.55026436,25.9881055
91,A,0.503975093,9.027689934,17.91296842
92,C,0.576560795,11.22936344,19.4764603
93,C,0.529258311,10.94713974,20.68392601
94,A,0.408772439,10.74514008,26.28636145
95,A,0.372318566,11.22306633,30.14371928
96,A,0.347439319,9.551570892,27.49133553
97,A,0.317533553,9.521449089,29.98564722
98,C,0.6634444,11.34849834,17.10542488
99,A,0.430557936,10.72243214,24.90357564
100,A,0.35332042,9.525689125,26.96048287
101,C,0.523262799,10.06919861,19.24310047
102,A,0.356734335,10.43068314,29.23935854
103,A,0.335120857,9.413642883,28.09029248
104,C,0.58774668,10.30211353,17.52815267
105,C,0.513101876,10.15000439,19.7816552
106,C,0.509918392,10.02204132,19.65420641
107,C,0.556057394,10.94580746,19.68467209
108,A,0.341474175,10.38099003,30.40051276
109,C,0.505956113,10.69431877,21.13685059
109,A,0.592662156,11.17441845,18.85461783
110,A,0.588119566,10.48121834,17.82157734
111,C,0.550229311,10.44067669,18.97513724
112,C,0.660254955,11.88506508,18.00072076
113,C,0.484217972,9.066045761,18.72306749
114,A,0.318091035,10.06956863,31.65624783
115,A,0.386130542,11.58698082,30.00793662
116,A,0.364931762,10.93279648,29.95846788
117,A,0.362261176,10.97521114,30.29640455
118,A,0.60893625,10.0179224,16.45151261
119,C,0.545722961,10.51667786,19.27109284
120,A,0.328092247,10.45150852,31.85539619
121,A,0.407842278,10.47411156,25.68176991
122,A,0.340392739,9.7492342,28.64113447
123,A,0.358373761,9.10203743,25.39816922
124,C,0.58893311,10.39458561,17.64985773
125,A,0.525557637,10.10302734,19.22344312
126,A,0.429754406,9.328731537,21.7071225
127,A,0.396469951,10.31152534,26.00834014
129,A,0.47354573,11.02919388,23.29066272
130,A,0.302111745,8.512792587,28.17762873
131,A,0.36786443,8.965480804,24.37169803
132,A,0.375775576,9.462355614,25.18086916
133,A,0.371955127,9.224646568,24.8004286
134,A,0.371650875,10.42418194,28.04831804
135,A,0.345081955,10.41149902,30.17109086
136,A,0.299257904,9.10081768,30.41128591
137,A,0.287946612,9.563364983,33.21228514
138,A,0.305259258,11.58827782,37.96208474
139,A,0.274762541,9.343960762,34.0074041
140,A,0.335720688,10.39773083,30.97137353
141,A,0.360925913,11.12318039,30.81845883
142,A,0.303668439,9.211255074,30.33326448
143,A,0.316824079,10.22637653,32.27777561
144,A,0.337604672,10.5352354,31.20583414
145,A,0.380263984,10.67477131,28.07200198
146,A,0.335272938,10.74259758,32.04135008
147,A,0.379215807,11.073946,29.20222679